CIUDAD;VENDEDOR;FACTURA ;FECHA;CLIENTE ;VALOR SIN IVA;VALOR CON IVA;CREDITO;VENCIMIENTO;FECHA PAGO;RADICACION;LINEA; ESTADO DE LA COMISION;;
MEDELLIN;JGG;989;11-ene-13;EMPACOR S.A.;2.107.040;2.444.166;0;14-ene-13;16-oct.-13;14-ene-13;;PAGADA OCTUBRE;;
BOGOTA;LRL;991;11-ene.-13;NORTHEX LTDA;38.838.608;45.052.785;30;10-feb-13;7-dic.-15;11-ene-13;;PAGADA DICIEMBRE;;
CARTAGENA;JGG;1069;1-mar-13;GYPTEC S.A.;325.900;378.044;60;30-abr-13;23-ago.-13;1-mar-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1151;23-abr-13;EXPOFARO S.A.S.;3.857.200;4.474.352;30;24-may-13;18-sep.-13;24-abr-13;;PAGADA SEPTIEMBRE;;
BOGOTA;LRL;1183;10-may.-13;MASTER CONTROLS LTDA.;1.879.200;2.179.872;30;1-jun-13;25-sep.-13;2-may-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;DAQ;1228;13-jun-13;CRISTALERIA PELDAR S.A.;895.000;1.038.200;30;15-jul-13;20-nov.-13;15-jun-13;;PAGADA NOVIEMBRE;;
BOGOTA;LRL;1229;14-jun.-13;MASTER CONTROLS LTDA.;5.774.100;6.697.956;30;14-jul-13;25-sep.-13;14-jun-13;;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1238;18-jun-13;FLAMINGO OIL S.A.;14.695.000;17.046.200;30;19-jul-13;9-abr.-14;19-jun-13;;PAGADA ABRIL;;
BOGOTA;MAV;1239;18-jun-13;FLAMINGO OIL S.A.;4.938.000;5.728.080;30;18-jul-13;9-abr.-14;18-jun-13;;PAGADA ABRIL;;
BOGOTA;JGG;1240;18-jun-13;PRODUCTOS QUÍMICOS PANAMERICANOS S.A.;144.800;167.968;30;18-jul-13;13-dic.-13;18-jun-13;;PAGADA DICIEMBRE;;
BOGOTA;LRL;1241;18-jun.-13;ASTECNIA S.A.;3.595.000;4.170.200;30;18-jul-13;15-nov.-13;18-jun-13;;PAGADA NOVIEMBRE;;
BOGOTA;JGG;1243;25-jun-13;SUMINISTROS DE COLOMBIA S.A.;701.800;814.088;60;24-ago-13;10-sep.-13;25-jun-13;;PAGADA SEPTIEMBRE;;
BOGOTA;LRL;1244;25-jun.-13;MASTER CONTROLS LTDA.;985.900;1.143.644;30;25-jul-13;25-sep.-13;25-jun-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1246;2-jul-13;COLCERAMICA S.A.;77.200;89.552;60;31-ago-13;10-sep.-13;2-jul-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1247;3-jul-13;SUMINISTROS DE COLOMBIA S.A.;5.100.000;5.916.000;60;3-sep-13;10-sep.-13;5-jul-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1248;3-jul-13;COLCERAMICA S.A.;82.080;95.213;60;3-sep-13;10-sep.-13;5-jul-13;;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1249;4-jul-13;PACKING S.A.;422.400;489.984;60;2-sep-13;5-sep.-13;4-jul-13;;PAGADA SEPTIEMBRE;;
BOGOTA;MAV;1250;4-jul-13;PACKING S.A.;894.400;1.037.504;60;2-sep-13;5-sep.-13;4-jul-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;DAQ;1258;8-jul-13;INDUSTRIAS HACEB S.A.;70.000;81.200;60;7-sep-13;26-sep.-13;9-jul-13;;PAGADA SEPTIEMBRE;;
BOGOTA;LRL;1259;8-jul.-13;MEXICHEM RESINAS COLOMBIA S.A.S.;233.000;270.280;60;8-sep-13;19-sep.-13;10-jul-13;;PAGADA SEPTIEMBRE;;
CALI;APM;1260;8-jul-13;SULFOQUIMICA S.A.;1.314.400;1.524.704;30;8-ago-13;6-sep.-13;9-jul-13;;PAGADA SEPTIEMBRE;;
CALI;APM;1263;8-jul-13;QUIMICA BASICA COLOMBIANA S.A.;5.378.400;6.238.944;30;8-ago-13;30-ago.-13;9-jul-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1267;10-jul-13;COLCERAMICA S.A.;517.100;599.836;60;9-sep-13;25-sep.-13;11-jul-13;;PAGADA SEPTIEMBRE;;
BOGOTA;JGG;1268;10-jul-13;PRODUCTOS QUÍMICOS PANAMERICANOS S.A.;513.244;595.363;60;9-sep-13;13-dic.-13;11-jul-13;;PAGADA DICIEMBRE;;
BOGOTA;JGG;1269;11-jul-13;PRODUCTOS QUÍMICOS PANAMERICANOS S.A.;167.000;193.720;60;10-sep-13;13-dic.-13;12-jul-13;;PAGADA DICIEMBRE;;
BOGOTA;JGG;1270;11-jul-13;COLCERAMICA S.A.;1.380.400;1.601.264;60;10-sep-13;25-sep.-13;12-jul-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1273;15-jul-13;COLCERAMICA S.A.;164.160;190.426;60;14-sep-13;25-sep.-13;16-jul-13;;PAGADA SEPTIEMBRE;;
MEDELLIN;JGG;1274;15-jul-13;COLCERAMICA S.A.;269.800;312.968;60;14-sep-13;25-sep.-13;16-jul-13;;PAGADA SEPTIEMBRE;;
CARTAGENA;LRL;1276;15-jul.-13;MEXICHEM RESINAS COLOMBIA S.A.S.;1.947.000;2.258.520;60;15-sep-13;19-sep.-13;17-jul-13;;PAGADA SEPTIEMBRE;;
